"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","responses","stimulus","key_press","stim_type"
"4528","","survey-text","192","573596","0.0-4.0-3.14","MT-AIXTI8PKSX1D2","","{""Q0"":""Two""}","","",""
"2611","","audio-keyboard-response","193","576210","0.0-4.0-4.14","MT-AIXTI8PKSX1D2","","","snd/ni.wav","53","typicality"
"null","","html-keyboard-response","194","577212","0.0-4.0-0.15","MT-AIXTI8PKSX1D2","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","195","577466","0.0-4.0-1.15","MT-AIXTI8PKSX1D2","","","snd/me2_0.wav","null",""
"null","","audio-keyboard-response","196","578211","0.0-4.0-2.65-0.65","MT-AIXTI8PKSX1D2","","","snd/me2_0.wav","null",""
"3072","","html-keyboard-response","197","581284","0.0-4.0-2.65-1.65","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"5412","","survey-text","198","586699","0.0-4.0-3.15","MT-AIXTI8PKSX1D2","","{""Q0"":""Two""}","","",""
"2600","","audio-keyboard-response","199","589307","0.0-4.0-4.15","MT-AIXTI8PKSX1D2","","","snd/me2_0.wav","52","typicality"
"null","","html-keyboard-response","200","590312","0.0-4.0-0.16","MT-AIXTI8PKSX1D2","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","201","590562","0.0-4.0-1.16","MT-AIXTI8PKSX1D2","","","snd/fe.wav","null",""
"null","","audio-keyboard-response","202","591312","0.0-4.0-2.66-0.66","MT-AIXTI8PKSX1D2","","","snd/fe.wav","null",""
"2716","","html-keyboard-response","203","594028","0.0-4.0-2.66-1.66","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"8525","","survey-text","204","602556","0.0-4.0-3.16","MT-AIXTI8PKSX1D2","","{""Q0"":""Two""}","","",""
"2712","","audio-keyboard-response","205","605275","0.0-4.0-4.16","MT-AIXTI8PKSX1D2","","","snd/fe.wav","53","typicality"
"null","","html-keyboard-response","206","606289","0.0-4.0-0.17","MT-AIXTI8PKSX1D2","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","207","606530","0.0-4.0-1.17","MT-AIXTI8PKSX1D2","","","snd/mu1_0.wav","null",""
"null","","audio-keyboard-response","208","607277","0.0-4.0-2.67-0.67","MT-AIXTI8PKSX1D2","","","snd/mu1_0.wav","null",""
"1339","","html-keyboard-response","209","608617","0.0-4.0-2.67-1.67","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","210","608862","0.0-4.0-2.68-0.68","MT-AIXTI8PKSX1D2","","","snd/mu1_0.wav","null",""
"442","","html-keyboard-response","211","609305","0.0-4.0-2.68-1.68","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","212","609552","0.0-4.0-2.69-0.69","MT-AIXTI8PKSX1D2","","","snd/mu1_0.wav","null",""
"1120","","html-keyboard-response","213","610673","0.0-4.0-2.69-1.69","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"3991","","survey-text","214","614676","0.0-4.0-3.17","MT-AIXTI8PKSX1D2","","{""Q0"":""one""}","","",""
"1480","","audio-keyboard-response","215","616167","0.0-4.0-4.17","MT-AIXTI8PKSX1D2","","","snd/mu1_0.wav","53","typicality"
"null","","html-keyboard-response","216","617169","0.0-4.0-0.18","MT-AIXTI8PKSX1D2","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","217","617412","0.0-4.0-1.18","MT-AIXTI8PKSX1D2","","","snd/to.wav","null",""
"null","","audio-keyboard-response","218","618172","0.0-4.0-2.70-0.70","MT-AIXTI8PKSX1D2","","","snd/to.wav","null",""
"1268","","html-keyboard-response","219","619441","0.0-4.0-2.70-1.70","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","220","619691","0.0-4.0-2.71-0.71","MT-AIXTI8PKSX1D2","","","snd/to.wav","null",""
"413","","html-keyboard-response","221","620106","0.0-4.0-2.71-1.71","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
