"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","responses","stimulus","key_press","stim_type"
"null","","html-keyboard-response","78","379834","0.0-4.0-0.4","MT-AT6OT5K5Z4V0J","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","79","380085","0.0-4.0-1.4","MT-AT6OT5K5Z4V0J","","","snd/so2_0.wav","null",""
"null","","audio-keyboard-response","80","380845","0.0-4.0-2.29-0.29","MT-AT6OT5K5Z4V0J","","","snd/so2_0.wav","null",""
"2275","","html-keyboard-response","81","383120","0.0-4.0-2.29-1.29","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","82","383365","0.0-4.0-2.30-0.30","MT-AT6OT5K5Z4V0J","","","snd/so2_0.wav","null",""
"424","","html-keyboard-response","83","383789","0.0-4.0-2.30-1.30","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","84","384045","0.0-4.0-2.31-0.31","MT-AT6OT5K5Z4V0J","","","snd/so2_0.wav","null",""
"822","","html-keyboard-response","85","384867","0.0-4.0-2.31-1.31","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","86","385124","0.0-4.0-2.32-0.32","MT-AT6OT5K5Z4V0J","","","snd/so2_0.wav","null",""
"557","","html-keyboard-response","87","385683","0.0-4.0-2.32-1.32","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","88","385924","0.0-4.0-2.33-0.33","MT-AT6OT5K5Z4V0J","","","snd/so2_0.wav","null",""
"428","","html-keyboard-response","89","386359","0.0-4.0-2.33-1.33","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","90","386604","0.0-4.0-2.34-0.34","MT-AT6OT5K5Z4V0J","","","snd/so2_0.wav","null",""
"391","","html-keyboard-response","91","386996","0.0-4.0-2.34-1.34","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","92","387245","0.0-4.0-2.35-0.35","MT-AT6OT5K5Z4V0J","","","snd/so2_0.wav","null",""
"233","","html-keyboard-response","93","387480","0.0-4.0-2.35-1.35","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","94","387725","0.0-4.0-2.36-0.36","MT-AT6OT5K5Z4V0J","","","snd/so2_0.wav","null",""
"1957","","html-keyboard-response","95","389683","0.0-4.0-2.36-1.36","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"5091","","survey-text","96","394775","0.0-4.0-3.4","MT-AT6OT5K5Z4V0J","","{""Q0"":""sul""}","","",""
"3019","","audio-keyboard-response","97","397802","0.0-4.0-4.4","MT-AT6OT5K5Z4V0J","","","snd/so2_0.wav","52","typicality"
"null","","html-keyboard-response","98","398804","0.0-4.0-0.5","MT-AT6OT5K5Z4V0J","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","99","399046","0.0-4.0-1.5","MT-AT6OT5K5Z4V0J","","","snd/pa2_0.wav","null",""
"null","","audio-keyboard-response","100","399805","0.0-4.0-2.37-0.37","MT-AT6OT5K5Z4V0J","","","snd/pa2_0.wav","null",""
"2252","","html-keyboard-response","101","402057","0.0-4.0-2.37-1.37","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","102","402354","0.0-4.0-2.38-0.38","MT-AT6OT5K5Z4V0J","","","snd/pa2_0.wav","null",""
"120","","html-keyboard-response","103","402475","0.0-4.0-2.38-1.38","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","104","402725","0.0-4.0-2.39-0.39","MT-AT6OT5K5Z4V0J","","","snd/pa2_0.wav","null",""
"34","","html-keyboard-response","105","402760","0.0-4.0-2.39-1.39","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","106","403006","0.0-4.0-2.40-0.40","MT-AT6OT5K5Z4V0J","","","snd/pa2_0.wav","null",""
"2253","","html-keyboard-response","107","405259","0.0-4.0-2.40-1.40","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"3802","","survey-text","108","409063","0.0-4.0-3.5","MT-AT6OT5K5Z4V0J","","{""Q0"":""ba""}","","",""
"6480","","audio-keyboard-response","109","415554","0.0-4.0-4.5","MT-AT6OT5K5Z4V0J","","","snd/pa2_0.wav","55","typicality"
"null","","html-keyboard-response","110","416556","0.0-4.0-0.6","MT-AT6OT5K5Z4V0J","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","111","416804","0.0-4.0-1.6","MT-AT6OT5K5Z4V0J","","","snd/ka.wav","null",""
"null","","audio-keyboard-response","112","417567","0.0-4.0-2.41-0.41","MT-AT6OT5K5Z4V0J","","","snd/ka.wav","null",""
"1648","","html-keyboard-response","113","419215","0.0-4.0-2.41-1.41","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","114","419465","0.0-4.0-2.42-0.42","MT-AT6OT5K5Z4V0J","","","snd/ka.wav","null",""
"433","","html-keyboard-response","115","419900","0.0-4.0-2.42-1.42","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","116","420145","0.0-4.0-2.43-0.43","MT-AT6OT5K5Z4V0J","","","snd/ka.wav","null",""
"237","","html-keyboard-response","117","420383","0.0-4.0-2.43-1.43","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","118","420625","0.0-4.0-2.44-0.44","MT-AT6OT5K5Z4V0J","","","snd/ka.wav","null",""
"1322","","html-keyboard-response","119","421947","0.0-4.0-2.44-1.44","MT-AT6OT5K5Z4V0J","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"5009","","survey-text","120","426958","0.0-4.0-3.6","MT-AT6OT5K5Z4V0J","","{""Q0"":""ca""}","","",""
"2931","","audio-keyboard-response","121","429891","0.0-4.0-4.6","MT-AT6OT5K5Z4V0J","","","snd/ka.wav","54","typicality"
"null","","html-keyboard-response","122","430928","0.0-4.0-0.7","MT-AT6OT5K5Z4V0J","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","123","431184","0.0-4.0-1.7","MT-AT6OT5K5Z4V0J","","","snd/ma.wav","null",""
"null","","audio-keyboard-response","124","431945","0.0-4.0-2.45-0.45","MT-AT6OT5K5Z4V0J","","","snd/ma.wav","null",""
